"Date","Site","Vegetative.Shoot","Reproductive.Shoot","Seed.Pods","shoots.measured.for.wasting","shoots.with.wasting","Percent.Wasting","seeds","Leaf.Biomass","Below.Biomass","Total.AFDW","Algae.Biomass","Detrutis.Biomass","Epiphyte.Biomass","Ave.Leaf.Length","Ave.Leaf.Width","Leaf.Dry","Leaf.Ashed","Below.Dry","Below.Ashed","Algae.Dry","Algae.Ashed","Detritus.Dry","Detritus.Ashed","epipyte.dry","eppipyte.ashed","seed.dry.wt.","seed.ash.wt.","Date2","Leaf_AFDW","Below_AFDW","Algae_AFDW","Detritus_AFDW","Epipyte_AFDW","Seed_AFDW","Total_AFDW","Year"
1998-03-30,"Marsh Elder",11,NA,NA,NA,NA,NA,NA,0.19,0.600000000000001,0.790000000000002,0.00349999999999984,0,0,10.99,1.63636363636364,6.82,6.63,53.36,52.76,1.531,1.5275,NA,NA,NA,NA,NA,NA,1998.24366872005,0.19,0.600000000000001,0.00349999999999984,NA,NA,NA,0.793500000000002,"1998"
1998-03-30,"Marsh Elder",19,NA,NA,NA,NA,NA,NA,0.19,1.14,1.33,0.00109999999999988,0,0,9.90833333333333,1.34210526315789,6.85,6.66,56.79,55.65,1.5412,1.5401,NA,NA,NA,NA,NA,NA,1998.24366872005,0.19,1.14,0.00109999999999988,NA,NA,NA,1.3311,"1998"
1998-03-30,"Marsh Elder",21,NA,NA,NA,NA,NA,NA,0.36,2.07,2.43,0.00860000000000016,0,0,9.27368421052632,1.825,7.41,7.05,56.32,54.25,1.5313,1.5227,NA,NA,NA,NA,NA,NA,1998.24366872005,0.36,2.07,0.00860000000000016,NA,NA,NA,2.4386,"1998"
1998-03-30,"Marsh Elder",14,NA,NA,NA,NA,NA,NA,0.31,1.33000000000001,1.64000000000001,0.00439999999999996,0,0,11.9714285714286,1.57142857142857,7.64,7.33,61.24,59.91,1.5303,1.5259,NA,NA,NA,NA,NA,NA,1998.24366872005,0.31,1.33000000000001,0.00439999999999996,NA,NA,NA,1.6444,"1998"
1998-04-22,"Marsh Elder",9,NA,NA,NA,NA,NA,NA,0.37,0.68,1.05,0,0,0,16.6888888888889,2,7.37,7,50.95,50.27,NA,NA,NA,NA,NA,NA,NA,NA,1998.30663928816,0.37,0.68,NA,NA,NA,NA,1.05,"1998"
1998-04-22,"Marsh Elder",17,3,NA,NA,NA,NA,63,0.453,0.448,0.901000000000001,0,0,0,12.7214285714286,1.97058823529412,7.363,6.91,57.018,56.57,NA,NA,NA,NA,NA,NA,1.5451,NA,1998.30663928816,0.453,0.448,NA,NA,NA,NA,0.901000000000001,"1998"
1998-04-22,"Marsh Elder",11,3,NA,NA,NA,NA,18,0.633999999999999,0.601999999999997,1.236,0.00669999999999993,0,0,16.52,2.27272727272727,7.254,6.62,55.662,55.06,1.5221,1.5154,NA,NA,NA,NA,1.5365,1.5314,1998.30663928816,0.633999999999999,0.601999999999997,0.00669999999999993,NA,NA,0.00509999999999988,1.2478,"1998"
1998-04-22,"Marsh Elder",7,9,NA,NA,NA,NA,271,0.81,0.119999999999997,0.929999999999997,0.00679999999999992,0.319999999999997,0,22.0571428571429,1.85714285714286,7.51,6.7,53.16,53.04,1.5348,1.528,27.33,27.01,NA,NA,1.6261,1.5498,1998.30663928816,0.81,0.119999999999997,0.00679999999999992,0.319999999999997,NA,0.0763,1.33309999999999,"1998"
1998-04-22,"Marsh Elder",21,5,NA,NA,NA,NA,310,1.999,0.665999999999997,2.665,0.0199999999999998,0,0,23.2571428571429,2.575,8.899,6.9,55.506,54.84,1.5433,1.5233,NA,NA,NA,NA,1.6672,1.5636,1998.30663928816,1.999,0.665999999999997,0.0199999999999998,NA,NA,0.1036,2.7886,"1998"
1998-04-22,"Marsh Elder",10,8,NA,NA,NA,NA,277,0.83,0.469999999999999,1.3,0.1474,1.1,0,18.3888888888889,2.15,7.49,6.66,55.01,54.54,1.6936,1.5462,29.04,27.94,NA,NA,1.6003,1.5462,1998.30663928816,0.83,0.469999999999999,0.1474,1.1,NA,0.0541,2.6015,"1998"
